"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","","","0","0","13","0","0"
"","tracker","","0","0","5","0","0"
"","set climate","","1","0","0","0","0"
"","turn on","","2","0","0","0","0"
"","turn off","","2","0","0","0","0"
"","automation","","3","0","0","0","0"
"","decrease brightness","","1","0","0","0","0"
"","toggle","","2","0","0","0","0"
"","increase brightness","","1","0","0","0","0"
"","shopping list","","1","0","0","0","0"
"","camera","","0","0","2","0","0"
"","Get sensor state","","2","0","0","0","0"
"","set brightness","","1","0","0","0","0"
