"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jan 12 22:55:48 GMT 2023","Thu Jan 12 22:55:48 GMT 2023","0","unittests","test_haclient","TestAdditionalFunctions","","","test_normalize_string","Test string normalizing function
        Test cases contain in/out duos which should be equal"
"passed","Thu Jan 12 23:00:39 GMT 2023","Thu Jan 12 23:00:50 GMT 2023","10302","","behave","","","","where is skill conflict -- @1.1 where is skill conflict",""
"passed","Thu Jan 12 23:01:00 GMT 2023","Thu Jan 12 23:01:10 GMT 2023","10302","","behave","","","","where is skill conflict -- @1.3 where is skill conflict",""
"failed","Thu Jan 12 23:01:21 GMT 2023","Thu Jan 12 23:01:41 GMT 2023","20605","","behave","","","","set climate temperature",""
"failed","Thu Jan 12 22:56:32 GMT 2023","Thu Jan 12 22:56:52 GMT 2023","20604","","behave","","","","turn on switch",""
"failed","Thu Jan 12 22:59:17 GMT 2023","Thu Jan 12 22:59:37 GMT 2023","20605","","behave","","","","turn off light",""
"passed","Thu Jan 12 22:55:48 GMT 2023","Thu Jan 12 22:55:48 GMT 2023","1","unittests","test_haclient","TestHaClient","","","test_mock_ssl_no_port","Test with ssl and without port number specified"
"failed","Thu Jan 12 23:00:18 GMT 2023","Thu Jan 12 23:00:39 GMT 2023","20605","","behave","","","","read light state",""
"failed","Thu Jan 12 22:58:56 GMT 2023","Thu Jan 12 22:59:17 GMT 2023","20605","","behave","","","","decrease light brightness",""
"passed","Thu Jan 12 22:55:48 GMT 2023","Thu Jan 12 22:55:48 GMT 2023","0","unittests","test_haclient","TestUrlChecker","","","test_ipv6_with_port","Test regex parsing user inputted as ipv6 with port"
"passed","Thu Jan 12 22:55:48 GMT 2023","Thu Jan 12 22:55:48 GMT 2023","5","unittests","test_haclient","TestUrlChecker","","","test_check_ip_with_hostname","Test regex parsing user inputted url as hostname"
"failed","Thu Jan 12 22:57:13 GMT 2023","Thu Jan 12 22:57:34 GMT 2023","20605","","behave","","","","toggle on switch",""
"passed","Thu Jan 12 23:00:39 GMT 2023","Thu Jan 12 23:00:39 GMT 2023","371","","behave","","","","tracker",""
"passed","Thu Jan 12 22:55:48 GMT 2023","Thu Jan 12 22:55:48 GMT 2023","27","unittests","test_haclient","TestHaClient","","","test_light_nossl","Test base turn on/off behavior.
         This need running HA session!
        "
"passed","Thu Jan 12 22:55:48 GMT 2023","Thu Jan 12 22:55:48 GMT 2023","1","unittests","test_haclient","TestHaClient","","","test_broke_entity","Test behavior with non-exist entity"
"failed","Thu Jan 12 22:58:35 GMT 2023","Thu Jan 12 22:58:56 GMT 2023","20605","","behave","","","","increase light brightness",""
